TYPE,URL,IP
Citadel,184.22.103.202/vox/cp.php?m=login,
Unknown,184.22.103.202/bl/main.php,
Citadel,184.22.103.202/ver/cp.php?m=login,
Citadel,184.22.103.202/gl/cp.php?m=login,
WebInject,184.22.103.202/uk/admin.php,
Citadel,184.22.103.202/img/cp.php?m=login,
WebInject,bank-auth.org/corp/admin/index.php,158.255.211.28
SUTRA,faydvrffiuqydeqq.ru/admin/,178.168.7.68
Blackhole,twdvlya.jungleheart.com/bhadmin.php,178.168.7.67
Blackhole,193.0.129.25/bhadmin.php,
Blackhole,193.0.129.37/bhadmin.php,
Blackhole,193.0.129.38/bhadmin.php,
Blackhole,193.0.129.43/bhadmin.php,
Blackhole,193.0.129.44/bhadmin.php,
Blackhole,193.0.129.67/bhadmin.php,
Blackhole,193.0.129.69/bhadmin.php,
Blackhole,exceededdoesn.info/bhadmin.php,5.39.59.130
"Sakura EK 1.1",83.133.126.136/forum/includes/login.php,
ZeuS,79.148.113.188/1/l.php?m=login,
Blackhole,javadoddle.com/panel.php,109.235.51.73
Pony,tsreuba.net/admin.php,188.190.126.177
Blackhole,asleep.coolparkinggames.info/bhadmin.php,193.0.129.242
iStealer,stylee.herobo.com/2/,31.170.161.236
vnloader,czyszczeniedywanow-legnica.home.pl/vnLoader/,89.161.205.94
Cythosia,czyszczeniedywanow-legnica.home.pl/Webpanel/,89.161.205.94
Unknown,skanix.ws/panel/directory.php,93.170.134.146
iStealer,stylee.herobo.com/3/,31.170.161.236
iStealer,stylee.herobo.com/4/,31.170.161.236
SUTRA,ponysoft.ru/admin/,178.216.52.76
Blackhole,jpbja.lflinkup.net/bhadmin.php,85.17.58.97
"Sakura EK 1.1",f46e602.sytes.net/includes/login.php,128.204.194.101
"Upas Kit",ladendieb.in/panel/login.php,188.40.37.81
Blackhole,army.boysgirlsgames.info/bhadmin.php,37.9.55.221
Blackhole,fresh.kariemilford.com/bhadmin.php,192.162.102.35
"Bleeding Life v2 Reloaded",iili.in/g34iyubp/statistics/login.php,69.163.128.148
Blackhole,railmirt.isasecret.com/bhadmin.php,194.219.29.235
ZeuS,95.65.107.94/web/cp.php?m=login,
Blackhole,bars.fungamesboys.info/bhadmin.php,146.185.236.82
